comercializadora;tarifa;kwh_anuales;coste_energia_anual;coste_potencia_anual;coste_total_anual;coste_medio_eur_kwh;ref_mediana_coste_total_anual;ref_peor_coste_total_anual;ahorro_vs_mediana_eur_anual;ahorro_vs_peor_eur_anual;ahorro_vs_mediana_pct_anual;ahorro_vs_peor_pct_anual;pct_coste_energia_anual;pct_coste_potencia_anual;kwh_punta_LV;kwh_llano_LV;kwh_valle_LV;kwh_valle_SD;pct_kwh_punta_LV;pct_kwh_llano_LV;pct_kwh_valle_LV;pct_kwh_valle_SD
Gane;Tarifa Precio de Mercado;3593,879;262,4284;184,2318;446,6602;0,1243;711,9817;953,7403;265,3216;507,0801;37,2652;53,1675;58,7535;41,2465;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Discriminación Horaria;3593,879;291,3964;159,4631;450,8595;0,1255;711,9817;953,7403;261,1222;502,8808;36,6754;52,7272;64,6313;35,3687;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
CHC eoergía;Plan Vehículo Eléctrico;3593,879;287,9781;180,3475;468,3256;0,1303;711,9817;953,7403;243,6562;485,4148;34,2223;50,8959;61,491;38,509;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Hidroelectrica de Sillidaex;Luz a precio de coste con Monedero Solar;3593,879;277,1454;193,9183;471,0637;0,1311;711,9817;953,7403;240,918;482,6766;33,8377;50,6088;58,834;41,166;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Xekiwi;Ricardo mensual;3593,879;294,236;177,9371;472,1731;0,1314;711,9817;953,7403;239,8087;481,5672;33,6819;50,4925;62,3153;37,6847;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
nibe;Zen;3593,879;295,1924;181,248;476,4404;0,1326;711,9817;953,7403;235,5414;477,3;33,0825;50,0451;61,9579;38,0421;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Hogar solar 24h con Monedero Solar;3593,879;320,0349;161,1416;481,1765;0,1339;711,9817;953,7403;230,8052;472,5638;32,4173;49,5485;66,5109;33,4891;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Plan Online;3593,879;295,9332;195,8634;491,7966;0,1368;711,9817;953,7403;220,1851;461,9437;30,9257;48,435;60,1739;39,8261;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Naturgz;Tarifa Solar con Instalación;3593,879;279,9835;213,6141;493,5976;0,1373;711,9817;953,7403;218,3841;460,1427;30,6727;48,2461;56,723;43,277;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Xekiwi;Carolina;3593,879;300,4204;199,933;500,3534;0,1392;711,9817;953,7403;211,6283;453,3869;29,7238;47,5378;60,0416;39,9584;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
TotamEnergies;Plan Ahora;3593,879;289,81;210,7049;500,5149;0,1393;711,9817;953,7403;211,4668;453,2254;29,7012;47,5208;57,9024;42,0976;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Vosalia;Luz 3 periodos;3593,879;255,7869;256,1523;511,9392;0,1424;711,9817;953,7403;200,0426;441,8011;28,0966;46,323;49,9643;50,0357;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Bassoms;Hogar Ahorro;3593,879;296,87;220,9216;517,7916;0,1441;711,9817;953,7403;194,1901;435,9487;27,2746;45,7094;57,3339;42,6661;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Reqsolnova;Ahorro Plus;3593,879;311,9707;205,9857;517,9564;0,1441;711,9817;953,7403;194,0254;435,7839;27,2515;45,6921;60,2311;39,7689;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
